"title","description","cost","min_age","start","end","published","theme","event_type","picture","contact_name","contact_email_address","contact_phone_number","organisation","cyberevent","venue_name","venue_address_1","venue_address_2","venue_address_3","venue_city","venue_county","venue_postcode","provider","booking required","aditional_info"
"Feast!","Food related fun for all the family to celebrate this year’s Family Learning Festival.","Free",,20/10/09 14:30,20/10/09 15:00,TRUE,"Food and Cookery","Class",,"Great Glen Library",,"0116 305 3597",,,"Great Glen Library","Ruperts Way",,,"Great Glen",,"LE8 9GR",,TRUE,
"Feast!","Food related fun for all the family to celebrate this year’s Family Learning Festival.","Free",,21/10/09 14:30,21/10/09 16:00,TRUE,"Food and Cookery","Class",,"Enderby Library",,"0116 305 3523",,,"Enderby Library","Townsend Road",,,"Enderby",,"LE19 4 PG",,TRUE,
"Feast!","Food related fun for all the family to celebrate this year’s Family Learning Festival.","Free",,23/10/09 10:30,23/10/09 12:00,TRUE,"Food and Cookery","Class",,"Kirby Muxloe Library",,"0116 305 3714",,,"Kirby Muxloe Library","Station Road",,,"Kirby Muxloe",,"LE9 2EN",,TRUE,
"Feast!","Food related fun for all the family to celebrate this year’s Family Learning Festival.","Free",,19/10/09 14:30,19/10/09 16:00,TRUE,"Food and Cookery","Class",,"Huncote Partnership Library",,"0116 286 5933",,,"Huncote Partnership Library","Denham Lane",,,"Huncote",,"LE9 3AL",,TRUE,
"Feast!","Food related fun for all the family to celebrate this year’s Family Learning Festival.","Free",,22/10/09 10:30,22/10/09 11:30,TRUE,"Food and Cookery","Class",,"Anstey Library",,"0116 305 3536",,,"Anstey Library","Paper Mill Close",,,"Anstey",,"LE7 7AU",,TRUE,
"Feast!","Food related fun activities for all the Family","Free",,25/10/09 13:00,25/10/09 16:00,TRUE,"Food and Cookery","Class",,,,,,,"Wigston Library",,,,"Wigston",,"LE18 1PA",,TRUE,
"Feeding Young Imaginations (with the Pre School Learning Alliance)","Learn about healthy eating, prepare some treats and enjoy a healthy lunch!  Up to 2 children aged 5 and under with a parent or carer can attend.  ","Free",,15/10/09 11:30,15/10/09 13:00,TRUE,"Food and Cookery","Class",,"Steers Mead Children's Centre",,"020 8646 4429",,,"Steers Mead Children's Centre","Lavender Pavillion","Steers Mead",,"Mitcham",,"CR4 3HL",,TRUE,
"F'Email","Calling all mums, grans, female carers and daughters!  Set up an email account and learn how to send emails in this special session for IT beginners and those whose first language isn't English. For children 8+.  Please book in advance - call 0208 356 3000.","Free",,26/10/09 14:00,26/10/09 16:00,TRUE,"Technology & Broadcasting","Class",,"Amber Linell",,"0778 069 5989",,,"Hackney Central Library","1 Reading Lane",,,"Hackney",,"E8 1GQ",,FALSE,
"Festival of Ideas","A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.","Free - most events",,22/10/09 09:00,,TRUE,"Other","Other",,"Festivals Assistant",,"01223 766766",,,"University of Cambridge","The Pitt Building","Trumpington Street",,"Cambridge",,"CB2 1RP",,TRUE,
"Festival of Ideas","A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.","Free - most events",,23/10/09 09:00,,TRUE,"Other","Other",,"Festivals Assistant",,"01223 766766",,,"University of Cambridge","The Pitt Building","Trumpington Street",,"Cambridge",,"CB2 1RP",,TRUE,
"Festival of Ideas","A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.","Free - most events",,24/10/09 09:00,,TRUE,"Other","Other",,"Festivals Assistant",,"01223 766766",,,"University of Cambridge","The Pitt Building","Trumpington Street",,"Cambridge",,"CB2 1RP",,TRUE,
"Festival of Ideas","A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.","Free - most events",,25/10/09 09:00,,TRUE,"Other","Other",,"Festivals Assistant",,"01223 766766",,,"University of Cambridge","The Pitt Building","Trumpington Street",,"Cambridge",,"CB2 1RP",,TRUE,
"Festival of Ideas","A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.","Free - most events",,26/10/09 09:00,,TRUE,"Other","Other",,"Festivals Assistant",,"01223 766766",,,"University of Cambridge","The Pitt Building","Trumpington Street",,"Cambridge",,"CB2 1RP",,TRUE,
"Festival of Ideas","A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2009, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.","Free - most events",,27/10/09 09:00,,TRUE,"Other","Other",,"Festivals Assistant",,"01223 766766",,,"University of Cambridge","The Pitt Building","Trumpington Street",,"Cambridge",,"CB2 1RP",,TRUE,
"Festival of Ideas","A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.","Free - most events",,28/10/09 09:00,,TRUE,"Other","Other",,"Festivals Assistant",,"01223 766766",,,"University of Cambridge","The Pitt Building","Trumpington Street",,"Cambridge",,"CB2 1RP",,TRUE,
"Festival of Ideas","A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.","Free - most events",,29/10/09 09:00,,TRUE,"Other","Other",,"Festivals Assistant",,"01223 766766",,,"University of Cambridge","The Pitt Building","Trumpington Street",,"Cambridge",,"CB2 1RP",,TRUE,
"Festival of Ideas","A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.","Free - most events",,30/10/09 09:00,,TRUE,"Other","Other",,"Festivals Assistant",,"01223 766766",,,"University of Cambridge","The Pitt Building","Trumpington Street",,"Cambridge",,"CB2 1RP",,TRUE,
"Festival of Ideas","A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.","Free - most events",,31/10/09 09:00,,TRUE,"Other","Other",,"Festivals Assistant",,"01223 766766",,,"University of Cambridge","The Pitt Building","Trumpington Street",,"Cambridge",,"CB2 1RP",,TRUE,
"Festival of Learning",,"Free",,19/10/09 14:00,19/10/09 20:00,TRUE,"Other","Other",,"Anna Liddle",,"0191 424 6592",,,"Ocean Road CA","Ocean Road",,,"South Shields",,"NE33 2DW",,FALSE,
"Fiery costumes","Come and make fantastic fiery costumes, inspired by our London's Burning exhibition, then use a digital camera to create a picture together to take home. A creative workshop for families. Suitable for children aged 2+.","Free",,31/10/09 11:00,31/10/09 11:45,TRUE,"Culture, Arts & Crafts","Workshop",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN",,TRUE,
"Film Making","Make a short film with your family in three hours!!Friendly tutors and a chance to make friends with other families whilst playing with a camera! Please call to book your free place. For families with children under the age of 16, living in Highbridge.","Free",,26/10/09 10:00,26/10/09 13:00,TRUE,"Technology & Broadcasting","Workshop",,"Kirsty Bucknell",,1278433187,,,"Highbridge Community Hall",,,,"Highbridge",,"TA9 3BW",,TRUE,
"Film Making","Make a short film with your family in three hours!!Friendly tutors and a chance to make friends with other families whilst playing with a camera! Please call to book your free place. For families with children under the age of 16, living in Highbridge.","Free",,26/10/09 14:00,26/10/09 17:00,TRUE,"Technology & Broadcasting","Workshop",,"Kirsty Bucknell",,1278433187,,,"Highbridge Community Hall",,,,"Highbridge",,"TA9 3BW",,TRUE,
"Film Making","Make a short film with your family in three hours!!Friendly tutors and a chance to make friends with other families whilst playing with a camera! Please call to book your free place. For families with children under the age of 16, living in Highbridge.","Free",,29/10/09 10:00,29/10/09 13:00,TRUE,"Technology & Broadcasting","Workshop",,"Kirsty Bucknell",,1278433187,,,"Highbridge Community Hall",,,,"Highbridge",,"TA9 3BW",,TRUE,
"Film Making","Make a short film with your family in three hours!!Friendly tutors and a chance to make friends with other families whilst playing with a camera! Please call to book your free place. For families with children under the age of 16, living in Highbridge.","Free",,29/10/09 14:00,29/10/09 17:00,TRUE,"Technology & Broadcasting","Workshop",,"Kirsty Bucknell",,1278433187,,,"Highbridge Community Hall",,,,"Highbridge",,"TA9 3BW",,TRUE,
"Fishy Fridays","This 3 week story course is for families with pre school children who would enjoy sharing a story with their fishy friends in the Aquarium.  Includes a creative activity and fish feeding!  Please ring 01204 907528 to book a place.","Free",,02/10/09 13:00,02/10/09 14:30,TRUE,"Nature & the Environment","Other",,"Ann Hall",,"01204 332 841",,,"Bolton Aquarium",,,,"Bolton",,"BL1 1SE",,TRUE,
"Food Feastival","Food related fun for all the family to celebrate this year’s Family Learning Festival.","Free",,21/10/09 11:30,21/10/09 13:00,TRUE,"Food and Cookery","Class",,"Earl Shilton Library",,"0116 3058392",,,"Earl Shilton Library","Wood Street",,,"Earl Shilton",,"LE9 7NE",,TRUE,
"Food Feastival","Food related fun for all the family to celebrate this year’s Family Learning Festival.","Free",,22/10/09 10:30,22/10/09 11:30,TRUE,"Food and Cookery","Class",,"Groby Library",,"0116 305 3601",,,"Groby Library","Leicester Road",,,"Groby",,"LE6 0DQ",,TRUE,
"Food Feastival","Food related fun for all the family to celebrate this year’s Family Learning Festival.","Free",,24/10/09 14:00,24/10/09 16:00,TRUE,"Food and Cookery","Class",,"Newbold Verdon Library",,"0116 305 3661",,,"Newbold Verdon Library","Sparkenhoe","Main Street",,"Newbold Verdon",,"LE9 9NP",,TRUE,
"Food Feastival","Food related fun for all the family to celebrate this year’s Family Learning Festival.","Free",,29/10/09 15:45,29/10/09 16:45,TRUE,"Food and Cookery","Class",,"Market Bosworth Library",,"0116 305 3624",,,"Market Bosworth Library","Station Road",,,"Market Bosworth",,"CV13 0NP",,TRUE,
"Free Family Fun Day","A day of fun and challenges for all the family.  Come along and take part in scientific fun, make crazy cards for friends, join in with some of the circus tricks fun, learn how to give first aid, learn how to finger spell your name or have a healthy snack in the cafe.  All this and much more will be on offer at this event, so come along for a great day with your children.  This is a drop in event - no booking is required","Free",,18/10/09 11:00,18/10/09 15:00,TRUE,"Other","Other",,,,"020 8543 9292",,,"Hill House Community Centre","Bishopsford Road",,,"Morden",,"SM4 6BL",,FALSE,
"Frightening Family Fun","The event will engage parents/carers and children in learning together via a variety of fun and informal activities, from slime making to storytelling.  Participants will be given the opportunity to engage with current University of East Anglia students, including those who entered higher education (HE) straight from school, and those who began participating in HE later in life.  Staff from our Learning Shop will also be on hand to provide information about further learning opportunities.","Free",,31/10/09 10:00,31/10/09 16:00,TRUE,"Other","Other",,"Laura Crossley / Emily Archer",,"01603 591516 / 01603 591758",,,"2 Millennium Plain","Bethel Street",,,"Norwich",,"NR2 1TF",,FALSE,
"Fun Fabrics","Create a book cover for a diary, bookmarks and a lot more.  Up to 2 children aged 5 and over and a family member or carer can attend.  Course Ref:  FL41","Free",5,24/10/09 14:00,24/10/09 16:00,TRUE,"Culture, Arts & Crafts","Workshop",,,,"020 8543 9292",,,"West Barnes Library","Station Road",,,"Malden",,"KT3 6JF",,TRUE,
"Fun Face Painting","Families will learn together learning practical techniques for simple face painting.  Adults and children will be able to paint each other's face.  One child aged 6 years and over and one adult family member only can attend.  Course Ref: FL09","Free",,11/10/09 10:30,11/10/09 11:30,TRUE,"Culture, Arts & Crafts","Class",,,,"020 8543 9292",,,"Merton Adult Education ","Whatley Avenue",,,"Merton",,"SW20 9NS",,TRUE,
"Fun Science","In this session, families will learn how to make balloon rockets, 'burp in a bottle' and have fun trying science experiements.  Up to 2 children aged 5 years and over with one or two adult family members.  Course Ref: FL14","Free",5,11/10/09 10:30,11/10/09 12:30,TRUE,"Other","Class",,,,"020 8543 9292",,,"Merton Adult Education ","Whatley Avenue",,,"Merton",,"SW20 9NS",,TRUE,
"Funky Flowers","Families will get a chance to learn some of the first techniques of flower arranging.  At the end of the session, flower arrangements can be taken to display at home.  One child aged 4 years and over can attend with one adult family member.  Course Ref:  FL15","Free",,11/10/09 10:30,11/10/09 12:30,TRUE,"Culture, Arts & Crafts","Workshop",,,,"020 8543 9292",,,"Merton Adult Education ","Whatley Avenue",,,"Merton",,"SW20 9NS",,TRUE,
"Get Growing","Drop In day packed with activities.Grow your own food tray, Make a food spinner, Giant collage, Make a bug, Decorate a bag, Quiz","Free",,08/10/09 09:00,,TRUE,"Culture, Arts & Crafts","Workshop",,"Kathy Galashan",,"020 7527 5782",,,"Central Library","2 Fieldway Crescent",,,"Islington",,"N5 1PF",,FALSE,
"Get online Day and Family Learning","Various UK Online course availble to help you use and understand IT from Computer to mobile phones.  Other activities will be availble during the week for parents/carers and children to take part in from Crafts, computers and various taster courses.  Please ring for further details.","Free",,23/10/09 09:00,23/10/09 11:00,TRUE,"Technology & Broadcasting","Class",,"Eve West",,"019467 28403",,,"Seascale Community Centre","Seascale School","Croft Head Road",,"Seascale",,"CA20 1LZ",,TRUE,"www.seascaleschool.co.uk"
"Goldilocks Workshop & Performance","Parents and children will be taught the songs and actions in order to be able to join in with the subsequent performance.","Free",,17/10/09 10:30,17/10/09 11:10,TRUE,"Music and Performing Arts","Performance",,,,"0151 443 2086",,,"Halewood Library","Roseheath Drive",,"Halewood","Knowsley",,"L26 0TS",,FALSE,
"Goldilocks Workshop & Performance","Parents and children will be taught the songs and actions in order to be able to join in with the subsequent performance.","Free",,17/10/09 13:15,17/10/09 13:55,TRUE,"Music and Performing Arts","Performance",,,,"0151 443 3734",,,"Huyton Library","Civic Way",,"Huyton","Knowsley",,"L36 9GD",,FALSE,
"Goldilocks Workshop & Performance","Parents and children will be taught the songs and actions in order to be able to join in with the subsequent performance.","Free",,17/10/09 14:45,17/10/09 15:25,TRUE,"Music and Performing Arts","Performance",,,,"0151 443 4290",,,"kirkby Library","Newtown Gardens",,"Kirkby","Knowsley",,"L32 8RR",,FALSE,
"Grand Union Music Workshop","This music workshop will be entirely participatory and full of movement, including rhythm games as well as voice and percussion exercises from Africa and Latin America. You don't need musical experience, just lots of enthusiasm. The workshop is suitable for children aged seven and above and will be led by the highly experienced and extraordinary musicians from Grand Union. Children are welcome to bring their own musical instrument but percussion instruments will also be provided.","Free",,31/10/09 13:30,31/10/09 14:30,TRUE,"Music and Performing Arts","Workshop",,"Thalia Cassimatis",,"020 7613 7494",,,"Rich Mix","35-47 Bethnal Green Road",,,"London",,"E1 6LA",,TRUE,"http://www.richmix.org.uk/education_families.htm"
"Halloween Activity","Children aged 5 - 10yrs","Free",5,29/10/09 17:30,29/10/09 18:30,TRUE,"Culture, Arts & Crafts","Other",,"Sheena Ritson / M Shutt",,"01924 302470",,,"Altofts Library","Church Road",,"Altofts","Normanton",,"WF6 2NN",,FALSE,
"Halloween Activity","Children aged 5 - 11yrs","Free",5,29/10/09 14:30,29/10/09 15:30,TRUE,"Culture, Arts & Crafts","Other",,"M Townend",,"01977 722745",,,"Featherstone Library","Victoria Street","Off Station Road",,"Featherstone",,"WF7 5BB",,FALSE,
"Halloween Craft Activity","Childrens craft session","Free",,26/10/09 10:30,26/10/09 12:00,TRUE,"Culture, Arts & Crafts","Class",,"Liz Whitworth / Trudy Hobary",,"01924 305376",,,"Drury Lane Library","Drury Lane",,,"Wakefield",,"WF1 2TD",,FALSE,
"Halloween Family Learnability","A halloween themed family learning event that will offer disabled parents and parents of disabled children to experience a range of family learning activities","Free",,24/10/09 10:00,24/10/09 16:00,TRUE,"Culture, Arts & Crafts","Class",,"Leah Sharp",,"01472 269666",,,"60 Newmarket Street",,,,"Grimsby",,"DN32 7SF",,FALSE,"www.foresight-nelincs.co.uk"
"Halloween Hoots","Free and fun afternoon craft sessions to make a special Halloween decoration.  Free entry for all children this week (adults £2, concessions £1)  Also running Wednesday 28th to Friday 30th October.","Free",,24/10/09 14:00,24/10/09 16:00,TRUE,"Culture, Arts & Crafts","Workshop",,"Ann Hall",,"01204 332 841",,,"Hall i' th' Wood Museum",,,,"Bolton",,"BL1 1SE",,FALSE,
"Halloween Spooks","Are you brave enough to survive one of Bolton's most haunted houses during Halloween week?  Activities include a spooky quiz and a creepy guided tour.","Tickets £2.50",,28/10/09 19:00,28/10/09 20:00,TRUE,"Other","Other",,"Ann Hall",,"01204 332 841",,,"Hall i' th' Wood Museum",,,,"Bolton",,"BL1 1SE",,TRUE,
"Halloween Under 11's Activity","Contact library for further details.","Free",,31/10/09 10:00,31/10/09 11:00,TRUE,"Culture, Arts & Crafts","Other",,"Lisa Lilley",,"01924 303115",,,"Outwood Library","Victoria Street","Leeds Road",,"Outwood",,"WF1 2NE",,FALSE,
"Hand Embroidery and Applique Workshop for Families","Up to 2 children aged 5 years and over with one adult family member per family. This is a drop-in session - no booking required. One of William Morris's earliest wallpaper designs was called the Trellis, which he used to decorate his own home in Bexley Heath. River & Cloth invites you to create your own 3D trellis design in a fun and innovative way. Activities will include drawing, design transfer, hand embroidery and applique.","Free",5,26/10/09 10:00,26/10/09 16:00,TRUE,"Culture, Arts & Crafts","Workshop",,,,"020 8543 9292",,,"Pollards Hill Library","South Lodge Avenue",,,"Mitcham",,"CR4 1LT",,TRUE,
"Haunting Tales Storytelling Session","Storyteller Dominic Kelly enchants us with spooky, spine-tingling tales in the ancient Guildhall.","Free",,28/10/09 13:00,,TRUE,"Music and Performing Arts","Performance",,,,"01228 618718",,,"The Guildhall Museum","Greenmarket",,,"Carlisle",,"CA3 8JE",,FALSE,"www.tulliehouse.co.uk"
"Health Trainers drop in session","Contact library for further details.","Free",,20/10/09 10:00,20/10/09 12:00,TRUE,"Health and Wellbeing","Workshop",,"M Adey",,"01924 303355",,,"South Elmsall Library","Barnsley Road",,"South Elmsall","Pontefract",,"WF9 2AA",,FALSE,
"Healthy Breakfast, Healthy Me","Healthy eating ideas to promote families eating together followed by exercise, creative activities and ideas to promote good self esteem and family relationships.","Free",,26/10/09 09:00,,TRUE,"Health and Wellbeing","Workshop",,"Jane Morrison",,1373453371,,,"Key Centre ","Feltham Lane ",,,"Frome",,"BA11 5AJ",,TRUE,
"Healthy Halloween family learning event","Fun family day full of arts, crafts creative healthy cooking and staying healthy & safe activities for halloweenFun Play & 'party' included in the day.","Free",,30/10/09 09:00,30/10/09 17:00,TRUE,"Culture, Arts & Crafts","Other",,"Mel Charlton",,"01482 790277",,,"Child Dynamix Little Stars Childrens Centre","95 Preston Road",,,"Hull",,"HU9 3QB",,FALSE,"www.childdynamix.co.uk"
"Herb history session for the whole family","Meet community herbalist Elsa Hamaz to learn about the history of herbs through the ages and get tips on simple remedies to use at home for common ailments.  For children 7+.","Free",7,30/10/09 14:00,30/10/09 16:00,TRUE,"Nature & the Environment","Other",,"Amber Linell",,"0778 069 5989",,,"Hackney Central Library","1 Reading Lane",,,"Hackney",,"E8 1GQ",,FALSE,
"Hocus Pocus Drop-in Session","Craft your own Book of Spells in this free Halloween drop-in session, running from 1 - 4pm.","Free",,27/10/09 13:00,27/10/09 16:00,TRUE,"Culture, Arts & Crafts","Class",,,,"01228 618718",,,"Tullie House Museum & Art Gallery",,,,"Carlisle",,"CA3 8TP",,FALSE,"www.tulliehouse.co.uk"
"Hoop Along","Do you want to have fun and get fit at the same time?  Then why not come along and learn how to Hula Hoop at Shoreditch Library?  For children 8+.  Please book in advance - call 0208 356 3000.","Free",8,27/10/09 10:00,27/10/09 12:00,TRUE,"Sport and Physical Activity","Class",,"Amber Linell",,"0778 069 5989",,,"Shoreditch Library","80 Hoxton Street",,,"Hackney",,"N1 6LP",,FALSE,
"Hospital Howlers","An event to encourage staff, visitors and patients to get together with their children and create a poem with the title 'What is a hospital?'.  Free resources  such as spelling cards and stationary available to all who take part anda  prize for the adult and child who's poem wins!","Free",,08/10/09 10:00,08/10/09 16:00,TRUE,"Other","Other",,"Louise Redfern",,"01623 622515 ext 3924",,,"Kings Mill Hospital","Mansfield Road",,,"Sutton In Ashfield",,"NG17 4JL",,FALSE,
"How to Unlock Your Child's Genius.","An interactive workshop using theatre, song and poetry: concentrating on empowering parents by providing them with strategies to support their child's learning.","Free",,18/10/09 13:00,18/10/09 15:00,TRUE,"Music and Performing Arts","Workshop",,"Sonia McKenzie",,"020 7926 1075",,,"Brixton Library","Brixton Oval",,,"London",,"SW2 1JQ",,TRUE,
"How to Unlock Your Family's Genius.","An interactive workshop using theatre, song and poetry: concentrating on building and strengthening family life.","Free",,25/10/09 13:00,25/10/09 15:00,TRUE,"Music and Performing Arts","Workshop",,"Sonia McKenzie",,"020 7926 1075",,,"Brixton Library","Brixton Oval",,,"London",,"SW2 1JQ",,TRUE,
"Hungry Caterpillar stories and activities","Come and enjoy the Very Hungry Caterpillar stories and activities.  Suitable for Under 8s and families","Free",8,18/10/09 11:00,18/10/09 12:00,TRUE,"Music and Performing Arts","Performance",,"Sue Clayton",,"01298 25331",,,"Buxton Library","Kents Bank Road",,,"Buxton",,"SK17 9HW",,FALSE,"www.derbyshire.gov.uk"
"Jake and Cake by Godfrey Hamilton performed by Theatre Centre","Come and enjoy this wonderful theatre show for families! Jake has moved to the country and, missing his best friend Raymond, he wishes to be back in London. One day, a local girl called Cake tumbles into his life with stories of strange magic and ancient myths. Does she have special powers to find Raymond and will Jake ever believe her stories? As storm clouds gather, they move into the woods in search of friendship and the winding path home. An evocative new play from the makers of Under The Bed. Directed by Natalie Wilson. Suitable for 6 years +.","Free",6,10/10/09 14:00,10/10/09 15:00,TRUE,"Music and Performing Arts","Performance",,"Thalia Cassimatis",,"020 7613 7494",,,"Rich Mix","35-47 Bethnal Green Road",,,"London",,"E1 6LA",,TRUE,"http://www.richmix.org.uk/education_families.htm"
"Jewellery Making","Make your own piece of jewellery inspired by the Carnaval del Pueblo. Suitable for families with children 7 and over. All children must be supervised by an adult.","Free",7,27/10/09 14:30,27/10/09 16:00,TRUE,"Culture, Arts & Crafts","Workshop",,"The Cuming Museum",,"020 7525 2332",,,"The Cuming Museum","The Old Town Hall","151 Walworth Road","151 Walworth Road","London",,"SE17 1RY",,TRUE,
"Kick Forward","We will be organising a full day workshop for parents and their children to attend to create a story board, comic strip and posters related to pertinent social issues that they [families] decide is priority, they will work together to offer solutions through writing and illustrations, producing a positive learning experience in terms of family relations and understanding, good communication, writing and illustrations skills and problem solving. The workshop will be facilitated by a teacher and illustrator to offer support to the participants. In part the workshops will include football related skills games to encourage participation and enjoyment.","Free",,24/10/09 10:00,24/10/09 16:00,TRUE,"Culture, Arts & Crafts","Workshop",,"Rob Broomfield",,1482228881,,,"48 Kirklands Road",,,,"Hull",,"HU55AU",,TRUE,"www.dadsagainstdrugs.karoo.co.uk"
"Kite-making for children aged 8+",,"Free",8,26/10/09 14:00,26/10/09 15:00,TRUE,"Sport and Physical Activity","Workshop",,,,"0151 426 6449",,,"Prescot Library","High Street",,"Prescot","Knowsley",,"L34 3LD",,FALSE,
